iter	Passed	Remaining
0	2	252
1	4	228
2	7	226
3	8	213
4	11	215
5	13	208
6	15	202
7	17	197
8	19	194
9	21	190
10	23	186
11	25	184
12	27	183
13	29	180
14	31	178
15	33	176
16	35	175
17	38	173
18	40	172
19	42	171
20	45	170
21	47	169
22	50	167
23	52	165
24	54	164
25	57	163
26	59	161
27	62	160
28	64	157
29	66	155
30	68	153
31	70	150
32	73	148
33	75	146
34	77	144
35	80	142
36	82	140
37	84	138
38	86	135
39	88	133
40	90	130
41	91	126
42	93	124
43	96	122
44	97	119
45	99	117
46	101	114
47	103	112
48	105	110
49	107	107
50	109	105
51	112	103
52	114	101
53	117	100
54	119	97
55	121	95
56	123	93
57	125	90
58	128	89
59	130	87
60	133	85
61	135	83
62	137	80
63	139	78
64	141	76
65	144	74
66	146	71
67	148	69
68	149	67
69	151	65
70	153	62
71	155	60
72	157	58
73	159	56
74	161	53
75	162	51
76	163	48
77	165	46
78	166	44
79	168	42
80	170	40
81	172	37
82	174	35
83	175	33
84	177	31
85	178	29
86	179	26
87	180	24
88	182	22
89	185	20
90	187	18
91	189	16
92	190	14
93	191	12
94	192	10
95	193	8
96	194	6
97	195	3
98	196	1
99	197	0
